date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:24	22/22	---M--	200	added ('OK')	text/plain	date:Mon,%2008%20May%202023%2008:47:38%20GMT	https://www.leticiarobaina.com/robots.txt		(from )
13:10:24	57667/57667	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2011:10:23%20GMT	https://www.leticiarobaina.com/es/	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/es/index.html	(from )
13:10:24	3078/3078	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Sep%202023%2008:16:48%20GMT	https://www.leticiarobaina.com/sites/leticia-robaina1844/img/logo/favicon-613.png	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/sites/leticia-robaina1844/img/logo/favicon-613.png	(from https://www.leticiarobaina.com/es/)
13:10:25	429065/429065	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2009%20Sep%202025%2011:10:24%20GMT	https://www.leticiarobaina.com/_images/sites/leticia-robaina1844/img/_DSC6762.jpg?w=1200&h=1200&c=0	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/_images/sites/leticia-robaina1844/img/_DSC6762231e.jpg	(from https://www.leticiarobaina.com/es/)
13:10:25	133628/133628	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Nov%202024%2013:59:48%20GMT	https://www.leticiarobaina.com/assets/frontend/css/bootstrap.css	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/assets/frontend/css/bootstrap.css	(from https://www.leticiarobaina.com/es/)
13:10:25	30747/30747	---M--	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2016:00:08%20GMT	https://www.leticiarobaina.com/assets/frontend/plugins/jquery-ui/jquery-ui.min.css	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/assets/frontend/plugins/jquery-ui/jquery-ui.min.css	(from https://www.leticiarobaina.com/es/)
13:10:25	2064/2064	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Nov%202024%2013:59:48%20GMT	https://www.leticiarobaina.com/assets/plugins/layers/layers.css?v=48.5	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/assets/plugins/layers/layers3c11.css	(from https://www.leticiarobaina.com/es/)
13:10:25	421097/421097	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jun%202025%2011:00:54%20GMT	https://www.leticiarobaina.com/sites/leticia-robaina1844/css/site.css?v=48.5&t=1749553254	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/sites/leticia-robaina1844/css/sitea7c5.css	(from https://www.leticiarobaina.com/es/)
13:10:26	5395/5395	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Jun%202025%2011:00:54%20GMT	https://www.leticiarobaina.com/sites/leticia-robaina1844/css/custom.css?timestamp=1749553254	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/sites/leticia-robaina1844/css/custom3273.css	(from https://www.leticiarobaina.com/es/)
13:10:26	2178/2178	---M--	200	added ('OK')	text/css	date:Mon,%2031%20Oct%202022%2016:00:10%20GMT	https://www.leticiarobaina.com/assets/plugins/tiny-slider/tiny-slider.css	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/assets/plugins/tiny-slider/tiny-slider.css	(from https://www.leticiarobaina.com/es/)
13:10:26	4508/4508	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Dec%202024%2015:36:58%20GMT	https://www.leticiarobaina.com/assets/frontend/css/cmp.css?v=48.5	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/assets/frontend/css/cmp3c11.css	(from https://www.leticiarobaina.com/es/)
13:10:26	503/503	---M--	200	added ('OK')	application/javascript	date:Mon,%2031%20Oct%202022%2016:00:08%20GMT	https://www.leticiarobaina.com/assets/lang/lang.js	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/assets/lang/lang.js	(from https://www.leticiarobaina.com/es/)
13:10:27	8655/8655	---MC-	200	added ('OK')	image/png	date:Tue,%2009%20Sep%202025%2011:10:26%20GMT	https://www.leticiarobaina.com/_images/sites/leticia-robaina1844/img/logo/logo-690.png?w=300&h=75&c=0	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/_images/sites/leticia-robaina1844/img/logo/logo-690b45b.png	(from https://www.leticiarobaina.com/es/)
13:10:27	55457/55457	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2011:10:27%20GMT	https://www.leticiarobaina.com/es/sobre-mi.html	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/es/sobre-mi.html	(from https://www.leticiarobaina.com/es/)
13:10:28	68980/68980	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2011:10:27%20GMT	https://www.leticiarobaina.com/es/servicios-de-asesoramiento-y-coach-de-imagen.html	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/es/servicios-de-asesoramiento-y-coach-de-imagen.html	(from https://www.leticiarobaina.com/es/)
13:10:28	47803/47803	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2011:10:28%20GMT	https://www.leticiarobaina.com/es/color-y-emociones.html	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/es/color-y-emociones.html	(from https://www.leticiarobaina.com/es/)
13:10:29	48289/48289	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2011:10:28%20GMT	https://www.leticiarobaina.com/es/psicologia-del-estilo.html	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/es/psicologia-del-estilo.html	(from https://www.leticiarobaina.com/es/)
13:10:29	50280/50280	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2011:10:29%20GMT	https://www.leticiarobaina.com/es/armario-consciente.html	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/es/armario-consciente.html	(from https://www.leticiarobaina.com/es/)
13:10:30	49598/49598	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2011:10:29%20GMT	https://www.leticiarobaina.com/es/impacta-con-tu-imagen-en-tu-marca-personal.html	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/es/impacta-con-tu-imagen-en-tu-marca-personal.html	(from https://www.leticiarobaina.com/es/)
13:10:30	48629/48629	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Sep%202025%2011:10:30%20GMT	https://www.leticiarobaina.com/es/descubre-y-desarrolla-tu-imagen-real.html	C:/Mis%20lugares%20Web/leticia-robaina/www.leticiarobaina.com/es/descubre-y-desarrolla-tu-imagen-real.html	(from https://www.leticiarobaina.com/es/)
